Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
0,0,"192.168.1.4",256577947300621,488597337874
1,0,"192.168.1.4",256577947365991,488597343534
2,0,"192.168.1.4",256577947381825,488597345639
0,0,"192.168.1.10",431478272414465,488597348333
3,0,"192.168.1.4",256577947396621,488597352405
1,0,"192.168.1.10",431478272490317,488597459377
4,0,"192.168.1.4",256577947410843,488597466059
2,0,"192.168.1.10",431478272507335,488597471530
5,0,"192.168.1.4",256577947424677,488597477846
3,0,"192.168.1.10",431478272521983,488597480202
6,0,"192.168.1.4",256577947438547,488597483010
4,0,"192.168.1.10",431478272535706,488597485712
7,0,"192.168.1.4",256577947452362,488597488599
5,0,"192.168.1.10",431478272549298,488597490986
6,0,"192.168.1.10",431478272562632,488597493184
8,1,"192.168.1.4",256577947585251,488597495434
9,1,"192.168.1.4",256577947607806,488597497622
10,1,"192.168.1.4",256577947621973,488597626943
7,1,"192.168.1.10",431478272703428,488597630510
11,1,"192.168.1.4",256577947637343,488597632986
8,1,"192.168.1.10",431478272727557,488597635182
12,1,"192.168.1.4",256577947651343,488597637361
9,1,"192.168.1.10",431478272741557,488597640016
13,1,"192.168.1.4",256577947665454,488597721067
10,1,"192.168.1.10",431478272755132,488597724679
14,1,"192.168.1.4",256577947679343,488597734532
11,1,"192.168.1.10",431478272770854,488597736690
15,1,"192.168.1.4",256577947693288,488597738976
12,1,"192.168.1.10",431478272784261,488597741334
13,1,"192.168.1.10",431478272797520,488597743796
16,2,"192.168.1.4",256577947788954,488597816745
17,2,"192.168.1.4",256577947811565,488597820617
14,2,"192.168.1.10",431478272903057,488597822945
18,2,"192.168.1.4",256577947825862,488597825032
15,2,"192.168.1.10",431478272924298,488597827075
19,2,"192.168.1.4",256577947839695,488597829331
16,2,"192.168.1.10",431478272938057,488597831636
20,2,"192.168.1.4",256577947853417,488597834186
17,2,"192.168.1.10",431478272951502,488597910467
21,2,"192.168.1.4",256577947867565,488597914151
18,2,"192.168.1.10",431478272964909,488597916425
22,2,"192.168.1.4",256577947881436,488597918582
19,2,"192.168.1.10",431478272978280,488597920731
23,2,"192.168.1.4",256577947895214,488597923041
20,2,"192.168.1.10",431478272991669,488597925955
21,3,"192.168.1.10",431478273110928,488598013963
24,3,"192.168.1.4",256577947997510,488598017744
22,3,"192.168.1.10",431478273132094,488598020078
23,3,"192.168.1.10",431478273146020,488598022178
25,3,"192.168.1.4",256577948057251,488598029554
24,3,"192.168.1.10",431478273159557,488598032127
26,3,"192.168.1.4",256577948072862,488598064945
25,3,"192.168.1.10",431478273172965,488598067538
27,3,"192.168.1.4",256577948087214,488598069578
26,3,"192.168.1.10",431478273186224,488598071775
28,3,"192.168.1.4",256577948101010,488598073931
27,3,"192.168.1.10",431478273200317,488598076311
29,3,"192.168.1.4",256577948114973,488598156771
30,3,"192.168.1.4",256577948128917,488598159310
31,3,"192.168.1.4",256577948142565,488598161564
32,4,"192.168.1.4",256577948156677,488598163772
33,4,"192.168.1.4",256577948170621,488598165861
34,4,"192.168.1.4",256577948184436,488598168065
35,4,"192.168.1.4",256577948198232,488598170269
36,4,"192.168.1.4",256577948212195,488598172465
37,4,"192.168.1.4",256577948225899,488598238702
28,4,"192.168.1.10",431478273320187,488598241164
38,4,"192.168.1.4",256577948239640,488598243245
29,4,"192.168.1.10",431478273341669,488598245519
39,4,"192.168.1.4",256577948253528,488598247691
30,4,"192.168.1.10",431478273355391,488598250071
31,4,"192.168.1.10",431478273368817,488598321525
32,4,"192.168.1.10",431478273382298,488598323881
33,4,"192.168.1.10",431478273396409,488598325988
34,4,"192.168.1.10",431478273409761,488598330531
40,5,"192.168.1.4",256577948416584,488598332801
41,5,"192.168.1.4",256577948439102,488598335039
35,5,"192.168.1.10",431478273527150,488598370409
42,5,"192.168.1.4",256577948454121,488598372867
36,5,"192.168.1.10",431478273548576,488598375112
43,5,"192.168.1.4",256577948468177,488598377340
37,5,"192.168.1.10",431478273562169,488598423698
44,5,"192.168.1.4",256577948482010,488598426129
