Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
0,0,"192.168.2.4",262936678237886,6847280416464
0,0,"192.168.2.10",437836968621953,6847280554609
1,1,"192.168.2.4",262936678525331,6847280602219
1,1,"192.168.2.10",437836968912878,6847280726776
2,2,"192.168.2.4",262936678725738,6847280889328
2,2,"192.168.2.10",437836969111101,6847281064304
3,3,"192.168.2.4",262936678935220,6847281175831
3,3,"192.168.2.10",437836969317675,6847281219893
4,4,"192.168.2.4",262936679141868,6847281319367
4,4,"192.168.2.10",437836969524823,6847281439610
5,5,"192.168.2.4",262936679349461,6847281611323
5,5,"192.168.2.10",437836969733323,6847281779936
6,6,"192.168.2.4",262936679558090,6847281888472
6,6,"192.168.2.10",437836969941434,6847282009844
7,7,"192.168.2.4",262936679766405,6847282065249
7,7,"192.168.2.10",437836970151564,6847282496247
8,8,"192.168.2.4",262936679976109,6847282500455
8,8,"192.168.2.10",437836970358267,6847282503679
9,9,"192.168.2.10",437836970566341,6847282593898
9,9,"192.168.2.4",262936680232127,6847282644139
10,10,"192.168.2.4",262936680391590,6847282763254
10,10,"192.168.2.10",437836970774823,6847282883922
11,11,"192.168.2.4",262936680599405,6847283314284
11,11,"192.168.2.10",437836970982860,6847283317251
12,12,"192.168.2.4",262936680807683,6847283319717
12,12,"192.168.2.10",437836971192545,6847283445826
13,13,"192.168.2.4",262936681017164,6847283555896
13,13,"192.168.2.10",437836971399564,6847283699420
14,14,"192.168.2.4",262936681224257,6847283823737
14,14,"192.168.2.10",437836971607897,6847283873496
15,15,"192.168.2.4",262936681432368,6847283966436
15,15,"192.168.2.10",437836971816619,6847284105324
16,16,"192.168.2.4",262936681640590,6847284206866
16,16,"192.168.2.10",437836972025953,6847284327411
17,17,"192.168.2.4",262936681848646,6847284447193
17,17,"192.168.2.10",437836972233878,6847284877305
18,18,"192.168.2.4",262936682058164,6847284880062
18,18,"192.168.2.10",437836972441082,6847284882804
19,19,"192.168.2.4",262936682265831,6847285007923
19,19,"192.168.2.10",437836972649360,6847285058201
20,20,"192.168.2.4",262936682474127,6847285485764
20,20,"192.168.2.10",437836972857638,6847285488538
21,21,"192.168.2.4",262936682681812,6847285490972
21,21,"192.168.2.10",437836973066082,6847285619583
22,22,"192.168.2.4",262936682890553,6847285739162
22,22,"192.168.2.10",437836973275878,6847285866441
23,23,"192.168.2.4",262936683099461,6847285998133
23,23,"192.168.2.10",437836973482971,6847286049721
24,24,"192.168.2.4",262936683306886,6847286135007
24,24,"192.168.2.10",437836973690360,6847286253609
25,25,"192.168.2.4",262936683515349,6847286372888
25,25,"192.168.2.10",437836973899193,6847286492874
26,26,"192.168.2.4",262936683723775,6847286617529
26,26,"192.168.2.10",437836974107304,6847286733440
27,27,"192.168.2.4",262936683931516,6847286853621
27,27,"192.168.2.10",437836974316730,6847286974401
28,28,"192.168.2.4",262936684141757,6847287094417
28,28,"192.168.2.10",437836974523675,6847287214040
