Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
0,0,"192.168.1.10",439124478605296,8134787443944
0,0,"192.168.1.4",264224195230582,8134787449474
1,0,"192.168.1.10",439124478670685,8134787451704
2,0,"192.168.1.10",439124478686259,8134787454377
1,0,"192.168.1.4",264224195301249,8134787474763
3,0,"192.168.1.10",439124478700296,8134787477499
2,0,"192.168.1.4",264224195317508,8134787479737
4,0,"192.168.1.10",439124478714000,8134787482196
3,0,"192.168.1.4",264224195332045,8134787597729
5,0,"192.168.1.10",439124478727500,8134787601584
4,0,"192.168.1.4",264224195346286,8134787604234
6,0,"192.168.1.10",439124478741167,8134787606505
5,0,"192.168.1.4",264224195360193,8134787608941
7,0,"192.168.1.10",439124478754685,8134787611303
6,0,"192.168.1.4",264224195374175,8134787613613
7,0,"192.168.1.4",264224195388101,8134787616394
8,1,"192.168.1.10",439124478889722,8134787632539
8,1,"192.168.1.4",264224195515878,8134787635170
9,1,"192.168.1.10",439124478913778,8134787730545
9,1,"192.168.1.4",264224195540045,8134787734427
10,1,"192.168.1.10",439124478928815,8134787736780
10,1,"192.168.1.4",264224195554897,8134787739500
11,1,"192.168.1.10",439124478942222,8134787741734
11,1,"192.168.1.4",264224195568786,8134787744339
12,1,"192.168.1.10",439124478955630,8134787776667
12,1,"192.168.1.4",264224195582897,8134787787586
13,1,"192.168.1.10",439124478969111,8134787789760
13,1,"192.168.1.4",264224195596971,8134787792039
14,1,"192.168.1.10",439124478982444,8134787911191
14,1,"192.168.1.4",264224195610989,8134787914840
15,1,"192.168.1.10",439124478995907,8134787916952
15,1,"192.168.1.4",264224195624749,8134787919180
16,2,"192.168.1.10",439124479094759,8134787921284
16,2,"192.168.1.4",264224195719823,8134787923493
17,2,"192.168.1.10",439124479117167,8134787925723
17,2,"192.168.1.4",264224195741619,8134787927871
18,2,"192.168.1.10",439124479131130,8134787937698
18,2,"192.168.1.4",264224195755693,8134787940069
19,2,"192.168.1.10",439124479144722,8134787942183
19,2,"192.168.1.4",264224195769452,8134787944455
20,2,"192.168.1.10",439124479158185,8134787946979
20,2,"192.168.1.4",264224195783304,8134787949181
21,2,"192.168.1.10",439124479171500,8134787995867
21,2,"192.168.1.4",264224195797489,8134787998518
22,2,"192.168.1.10",439124479184722,8134788010260
22,2,"192.168.1.4",264224195811323,8134788012889
23,2,"192.168.1.10",439124479197889,8134788048696
23,2,"192.168.1.4",264224195825341,8134788051247
24,3,"192.168.1.10",439124479301093,8134788053871
24,3,"192.168.1.4",264224195928952,8134788060989
25,3,"192.168.1.10",439124479322352,8134788102277
26,3,"192.168.1.10",439124479336815,8134788104856
25,3,"192.168.1.4",264224195950952,8134788106973
27,3,"192.168.1.10",439124479350333,8134788109201
26,3,"192.168.1.4",264224195966286,8134788153246
28,3,"192.168.1.10",439124479363741,8134788155792
27,3,"192.168.1.4",264224195980063,8134788158006
29,3,"192.168.1.10",439124479377130,8134788160287
30,3,"192.168.1.10",439124479390278,8134788205697
31,3,"192.168.1.10",439124479403537,8134788208193
28,3,"192.168.1.4",264224195994008,8134788210328
29,3,"192.168.1.4",264224196049804,8134788212602
30,3,"192.168.1.4",264224196066489,8134788258263
31,3,"192.168.1.4",264224196080434,8134788260606
32,4,"192.168.1.4",264224196094415,8134788262686
33,4,"192.168.1.4",264224196108101,8134788265016
34,4,"192.168.1.4",264224196121804,8134788311859
32,4,"192.168.1.10",439124479508815,8134788314279
35,4,"192.168.1.4",264224196135656,8134788316315
33,4,"192.168.1.10",439124479530296,8134788318545
36,4,"192.168.1.4",264224196149471,8134788376295
34,4,"192.168.1.10",439124479544093,8134788378821
37,4,"192.168.1.4",264224196163138,8134788380798
35,4,"192.168.1.10",439124479557278,8134788383137
38,4,"192.168.1.4",264224196176934,8134788416262
36,4,"192.168.1.10",439124479570722,8134788418737
39,4,"192.168.1.4",264224196190712,8134788420928
37,4,"192.168.1.10",439124479584111,8134788423151
38,4,"192.168.1.10",439124479597667,8134788468580
39,4,"192.168.1.10",439124479611074,8134788470978
40,5,"192.168.1.10",439124479717315,8134788473017
40,5,"192.168.1.4",264224196345045,8134788475253
41,5,"192.168.1.10",439124479738389,8134788521763
41,5,"192.168.1.4",264224196366323,8134788524490
42,5,"192.168.1.10",439124479752944,8134788526600
42,5,"192.168.1.4",264224196380156,8134788528822
43,5,"192.168.1.10",439124479766426,8134788573824
43,5,"192.168.1.4",264224196393712,8134788576234
44,5,"192.168.1.10",439124479779704,8134788578197
44,5,"192.168.1.4",264224196407471,8134788580376
45,5,"192.168.1.10",439124479792963,8134788626474
45,5,"192.168.1.4",264224196421267,8134788628878
46,5,"192.168.1.10",439124479806315,8134788630991
47,5,"192.168.1.10",439124479819593,8134788633265
46,5,"192.168.1.4",264224196434952,8134788678908
47,5,"192.168.1.4",264224196448767,8134788681136
48,6,"192.168.1.10",439124479925981,8134788683235
48,6,"192.168.1.4",264224196551601,8134788685533
49,6,"192.168.1.10",439124479947130,8134788732563
49,6,"192.168.1.4",264224196572526,8134788735186
50,6,"192.168.1.10",439124479960722,8134788737124
50,6,"192.168.1.4",264224196586452,8134788739462
51,6,"192.168.1.10",439124479974185,8134788785104
51,6,"192.168.1.4",264224196600989,8134788787379
52,6,"192.168.1.10",439124479987630,8134788789520
52,6,"192.168.1.4",264224196614860,8134788791778
53,6,"192.168.1.4",264224196628675,8134788837983
54,6,"192.168.1.4",264224196642563,8134788842823
55,6,"192.168.1.4",264224196657138,8134788845045
53,6,"192.168.1.10",439124480038778,8134788850562
54,6,"192.168.1.10",439124480059278,8134788889825
55,6,"192.168.1.10",439124480073148,8134788892096
56,7,"192.168.1.10",439124480086611,8134788894204
57,7,"192.168.1.10",439124480100000,8134788896894
58,7,"192.168.1.10",439124480113889,8134788942782
59,7,"192.168.1.10",439124480127204,8134788945361
60,7,"192.168.1.10",439124480140537,8134788947331
56,7,"192.168.1.4",264224196760082,8134788949542
61,7,"192.168.1.10",439124480153722,8134788994869
57,7,"192.168.1.4",264224196780749,8134788997082
62,7,"192.168.1.10",439124480166926,8134788999167
58,7,"192.168.1.4",264224196794675,8134789001470
63,7,"192.168.1.10",439124480179944,8134789047751
59,7,"192.168.1.4",264224196808489,8134789050271
60,7,"192.168.1.4",264224196822378,8134789052421
61,7,"192.168.1.4",264224196836341,8134789054734
62,7,"192.168.1.4",264224196850360,8134789108703
63,7,"192.168.1.4",264224196864175,8134789111431
64,8,"192.168.1.10",439124480345130,8134789113473
64,8,"192.168.1.4",264224196969452,8134789115798
65,8,"192.168.1.10",439124480366833,8134789153141
65,8,"192.168.1.4",264224196990860,8134789155588
66,8,"192.168.1.10",439124480380704,8134789157677
66,8,"192.168.1.4",264224197004934,8134789159965
67,8,"192.168.1.10",439124480394907,8134789205334
67,8,"192.168.1.4",264224197018638,8134789207761
68,8,"192.168.1.10",439124480408352,8134789209804
68,8,"192.168.1.4",264224197032508,8134789212119
69,8,"192.168.1.10",439124480421778,8134789257659
69,8,"192.168.1.4",264224197046286,8134789260082
70,8,"192.168.1.10",439124480435185,8134789262273
70,8,"192.168.1.4",264224197060878,8134789264442
71,8,"192.168.1.10",439124480448389,8134789310589
71,8,"192.168.1.4",264224197074638,8134789312922
72,9,"192.168.1.10",439124480550870,8134789314998
72,9,"192.168.1.4",264224197176712,8134789317252
73,9,"192.168.1.10",439124480572648,8134789363968
73,9,"192.168.1.4",264224197198008,8134789368645
74,9,"192.168.1.10",439124480586148,8134789370758
74,9,"192.168.1.4",264224197212119,8134789372976
75,9,"192.168.1.10",439124480599444,8134789416117
75,9,"192.168.1.4",264224197226045,8134789418576
76,9,"192.168.1.10",439124480612759,8134789420864
76,9,"192.168.1.4",264224197240471,8134789423219
77,9,"192.168.1.10",439124480625870,8134789468628
78,9,"192.168.1.10",439124480639000,8134789470919
77,9,"192.168.1.4",264224197254341,8134789472966
79,9,"192.168.1.10",439124480652185,8134789475258
78,9,"192.168.1.4",264224197268175,8134789521520
79,9,"192.168.1.4",264224197281952,8134789523967
80,10,"192.168.1.10",439124480758981,8134789525986
80,10,"192.168.1.4",264224197384712,8134789528143
81,10,"192.168.1.10",439124480780296,8134789574784
81,10,"192.168.1.4",264224197405841,8134789577382
82,10,"192.168.1.10",439124480793852,8134789579420
82,10,"192.168.1.4",264224197420212,8134789581757
83,10,"192.168.1.10",439124480807093,8134789626908
83,10,"192.168.1.4",264224197434193,8134789629335
84,10,"192.168.1.10",439124480820648,8134789631399
84,10,"192.168.1.4",264224197447915,8134789633807
85,10,"192.168.1.10",439124480834111,8134789679261
86,10,"192.168.1.10",439124480847241,8134789683866
85,10,"192.168.1.4",264224197462563,8134789685934
87,10,"192.168.1.10",439124480860315,8134789688219
86,10,"192.168.1.4",264224197476360,8134789732091
87,10,"192.168.1.4",264224197490304,8134789734546
88,11,"192.168.1.10",439124480967204,8134789736653
88,11,"192.168.1.4",264224197593212,8134789739002
89,11,"192.168.1.10",439124480988630,8134789785045
89,11,"192.168.1.4",264224197614397,8134789787593
90,11,"192.168.1.10",439124481002222,8134789789668
90,11,"192.168.1.4",264224197628489,8134789791894
91,11,"192.168.1.10",439124481015685,8134789837485
91,11,"192.168.1.4",264224197642230,8134789839976
92,11,"192.168.1.10",439124481029685,8134789842099
92,11,"192.168.1.4",264224197656156,8134789844374
93,11,"192.168.1.10",439124481043093,8134789890068
93,11,"192.168.1.4",264224197669860,8134789892352
94,11,"192.168.1.10",439124481056370,8134789894474
94,11,"192.168.1.4",264224197683619,8134789896741
95,11,"192.168.1.10",439124481069722,8134789942613
95,11,"192.168.1.4",264224197697415,8134789944957
96,12,"192.168.1.10",439124481176667,8134789947055
96,12,"192.168.1.4",264224197801693,8134789949379
97,12,"192.168.1.10",439124481197778,8134790001000
97,12,"192.168.1.4",264224197822841,8134790018285
98,12,"192.168.1.10",439124481211130,8134790024104
98,12,"192.168.1.4",264224197836971,8134790028160
99,12,"192.168.1.10",439124481224407,8134790048388
99,12,"192.168.1.4",264224197851026,8134790050970
100,12,"192.168.1.10",439124481237852,8134790052954
101,12,"192.168.1.10",439124481251259,8134790055290
100,12,"192.168.1.4",264224197865675,8134790101144
102,12,"192.168.1.10",439124481264481,8134790103431
101,12,"192.168.1.4",264224197880378,8134790105577
103,12,"192.168.1.10",439124481277593,8134790107845
102,12,"192.168.1.4",264224197894230,8134790153255
103,12,"192.168.1.4",264224197908063,8134790155841
104,13,"192.168.1.10",439124481383537,8134790157932
104,13,"192.168.1.4",264224198011063,8134790160185
105,13,"192.168.1.10",439124481405574,8134790206552
105,13,"192.168.1.4",264224198032175,8134790208998
106,13,"192.168.1.10",439124481419111,8134790211309
106,13,"192.168.1.4",264224198045952,8134790213581
107,13,"192.168.1.10",439124481432481,8134790258560
107,13,"192.168.1.4",264224198059767,8134790261075
108,13,"192.168.1.10",439124481445907,8134790263040
108,13,"192.168.1.4",264224198073508,8134790265240
109,13,"192.168.1.10",439124481459074,8134790311336
109,13,"192.168.1.4",264224198087193,8134790313579
110,13,"192.168.1.10",439124481472315,8134790318032
110,13,"192.168.1.4",264224198100989,8134790320466
111,13,"192.168.1.10",439124481485630,8134790364702
111,13,"192.168.1.4",264224198114675,8134790367286
112,14,"192.168.1.10",439124481591852,8134790369366
112,14,"192.168.1.4",264224198217841,8134790371677
113,14,"192.168.1.10",439124481613204,8134790417388
113,14,"192.168.1.4",264224198238952,8134790419874
114,14,"192.168.1.10",439124481626722,8134790421897
114,14,"192.168.1.4",264224198252952,8134790424374
115,14,"192.168.1.10",439124481639870,8134790469424
115,14,"192.168.1.4",264224198267397,8134790471843
116,14,"192.168.1.10",439124481653241,8134790473993
116,14,"192.168.1.4",264224198281230,8134790476212
117,14,"192.168.1.10",439124481667370,8134790538844
117,14,"192.168.1.4",264224198294860,8134790541198
118,14,"192.168.1.10",439124481680611,8134790543279
118,14,"192.168.1.4",264224198308619,8134790545766
119,14,"192.168.1.10",439124481694037,8134790547804
119,14,"192.168.1.4",264224198322397,8134790550069
120,15,"192.168.1.10",439124481800130,8134790572598
120,15,"192.168.1.4",264224198426360,8134790575241
121,15,"192.168.1.10",439124481821889,8134790627693
121,15,"192.168.1.4",264224198447638,8134790630259
122,15,"192.168.1.10",439124481835685,8134790634667
122,15,"192.168.1.4",264224198461749,8134790636971
123,15,"192.168.1.10",439124481849204,8134790680065
123,15,"192.168.1.4",264224198475489,8134790682675
124,15,"192.168.1.10",439124481862370,8134790684760
124,15,"192.168.1.4",264224198489452,8134790687040
125,15,"192.168.1.10",439124481875667,8134790732443
125,15,"192.168.1.4",264224198503193,8134790734753
126,15,"192.168.1.10",439124481888944,8134790736877
127,15,"192.168.1.10",439124481902167,8134790739168
126,15,"192.168.1.4",264224198517489,8134790785138
127,15,"192.168.1.4",264224198531489,8134790787491
128,16,"192.168.1.10",439124482008722,8134790789594
128,16,"192.168.1.4",264224198634452,8134790791895
129,16,"192.168.1.10",439124482030185,8134790838312
129,16,"192.168.1.4",264224198655471,8134790840811
130,16,"192.168.1.10",439124482043759,8134790842844
130,16,"192.168.1.4",264224198669989,8134790844964
131,16,"192.168.1.10",439124482057093,8134790891084
131,16,"192.168.1.4",264224198683638,8134790893674
132,16,"192.168.1.10",439124482070370,8134790895735
132,16,"192.168.1.4",264224198697341,8134790898075
133,16,"192.168.1.10",439124482083630,8134790943311
133,16,"192.168.1.4",264224198711119,8134790945603
134,16,"192.168.1.10",439124482096926,8134790947745
134,16,"192.168.1.4",264224198724878,8134790952065
135,16,"192.168.1.10",439124482110296,8134790996021
135,16,"192.168.1.4",264224198738675,8134790998669
136,17,"192.168.1.10",439124482217667,8134791000646
136,17,"192.168.1.4",264224198842915,8134791008105
137,17,"192.168.1.10",439124482239537,8134791058332
137,17,"192.168.1.4",264224198863934,8134791060631
138,17,"192.168.1.10",439124482253481,8134791062736
138,17,"192.168.1.4",264224198877952,8134791064907
139,17,"192.168.1.10",439124482266796,8134791067049
139,17,"192.168.1.4",264224198891767,8134791069295
140,17,"192.168.1.10",439124482280037,8134791098791
140,17,"192.168.1.4",264224198905730,8134791101302
141,17,"192.168.1.10",439124482293315,8134791153905
141,17,"192.168.1.4",264224198919434,8134791156109
142,17,"192.168.1.10",439124482307389,8134791158213
142,17,"192.168.1.4",264224198933175,8134791160489
143,17,"192.168.1.10",439124482320685,8134791207147
143,17,"192.168.1.4",264224198946841,8134791209602
144,18,"192.168.1.10",439124482425148,8134791211694
144,18,"192.168.1.4",264224199051008,8134791213982
145,18,"192.168.1.10",439124482446556,8134791260117
145,18,"192.168.1.4",264224199072563,8134791262482
146,18,"192.168.1.10",439124482460148,8134791264503
146,18,"192.168.1.4",264224199086508,8134791268982
147,18,"192.168.1.10",439124482473444,8134791312471
147,18,"192.168.1.4",264224199100304,8134791314933
148,18,"192.168.1.10",439124482486722,8134791317080
148,18,"192.168.1.4",264224199114230,8134791319396
149,18,"192.168.1.10",439124482499889,8134791364887
149,18,"192.168.1.4",264224199128008,8134791367272
150,18,"192.168.1.10",439124482513093,8134791369242
151,18,"192.168.1.10",439124482526352,8134791371522
150,18,"192.168.1.4",264224199141823,8134791417619
151,18,"192.168.1.4",264224199156267,8134791420033
152,19,"192.168.1.10",439124482633537,8134791422146
152,19,"192.168.1.4",264224199259434,8134791424470
153,19,"192.168.1.10",439124482655630,8134791471113
153,19,"192.168.1.4",264224199280563,8134791473677
154,19,"192.168.1.10",439124482669056,8134791475786
154,19,"192.168.1.4",264224199294619,8134791478048
155,19,"192.168.1.10",439124482682611,8134791533633
155,19,"192.168.1.4",264224199308378,8134791538372
156,19,"192.168.1.10",439124482695981,8134791542340
156,19,"192.168.1.4",264224199322360,8134791546559
157,19,"192.168.1.10",439124482709111,8134791550611
157,19,"192.168.1.4",264224199336101,8134791554728
158,19,"192.168.1.10",439124482722556,8134791572682
158,19,"192.168.1.4",264224199349915,8134791577427
159,19,"192.168.1.10",439124482735889,8134791628434
159,19,"192.168.1.4",264224199363860,8134791630827
160,20,"192.168.1.10",439124482841852,8134791632939
160,20,"192.168.1.4",264224199467749,8134791635257
161,20,"192.168.1.10",439124482863352,8134791681476
161,20,"192.168.1.4",264224199488878,8134791683776
162,20,"192.168.1.10",439124482876833,8134791685856
162,20,"192.168.1.4",264224199503045,8134791688201
163,20,"192.168.1.10",439124482890426,8134791733713
163,20,"192.168.1.4",264224199516656,8134791736100
164,20,"192.168.1.10",439124482903722,8134791738070
164,20,"192.168.1.4",264224199530489,8134791740369
165,20,"192.168.1.10",439124482916963,8134791786312
165,20,"192.168.1.4",264224199544193,8134791788545
166,20,"192.168.1.10",439124482930093,8134791790698
166,20,"192.168.1.4",264224199557934,8134791792974
167,20,"192.168.1.10",439124482944093,8134791838853
167,20,"192.168.1.4",264224199571730,8134791841439
168,21,"192.168.1.10",439124483050333,8134791843386
168,21,"192.168.1.4",264224199676008,8134791845639
169,21,"192.168.1.10",439124483072000,8134791892252
169,21,"192.168.1.4",264224199697193,8134791894712
170,21,"192.168.1.10",439124483085537,8134791896815
170,21,"192.168.1.4",264224199711212,8134791899112
171,21,"192.168.1.10",439124483098944,8134791944978
171,21,"192.168.1.4",264224199724971,8134791947549
172,21,"192.168.1.10",439124483112444,8134791949592
172,21,"192.168.1.4",264224199738897,8134791951805
173,21,"192.168.1.10",439124483125593,8134791997157
173,21,"192.168.1.4",264224199752638,8134791999446
174,21,"192.168.1.10",439124483138685,8134792005800
174,21,"192.168.1.4",264224199766341,8134792008225
175,21,"192.168.1.10",439124483152185,8134792057045
175,21,"192.168.1.4",264224199780971,8134792062850
176,22,"192.168.1.10",439124483259389,8134792066126
176,22,"192.168.1.4",264224199884193,8134792068414
177,22,"192.168.1.10",439124483281037,8134792070534
177,22,"192.168.1.4",264224199905452,8134792073154
178,22,"192.168.1.10",439124483294611,8134792100898
178,22,"192.168.1.4",264224199919175,8134792103666
179,22,"192.168.1.10",439124483307926,8134792155333
179,22,"192.168.1.4",264224199932841,8134792157753
180,22,"192.168.1.10",439124483321222,8134792159911
180,22,"192.168.1.4",264224199946712,8134792162099
181,22,"192.168.1.10",439124483334593,8134792208135
181,22,"192.168.1.4",264224199960545,8134792210512
182,22,"192.168.1.10",439124483347889,8134792212489
182,22,"192.168.1.4",264224199974378,8134792214751
183,22,"192.168.1.10",439124483361167,8134792262156
183,22,"192.168.1.4",264224199988008,8134792264647
184,23,"192.168.1.10",439124483466537,8134792266760
184,23,"192.168.1.4",264224200092360,8134792268967
185,23,"192.168.1.10",439124483488167,8134792271197
185,23,"192.168.1.4",264224200114841,8134792314124
186,23,"192.168.1.10",439124483502000,8134792316419
186,23,"192.168.1.4",264224200128989,8134792318555
187,23,"192.168.1.10",439124483515278,8134792320859
187,23,"192.168.1.4",264224200142823,8134792366033
188,23,"192.168.1.10",439124483528833,8134792368490
188,23,"192.168.1.4",264224200156619,8134792370506
189,23,"192.168.1.10",439124483542222,8134792372769
190,23,"192.168.1.10",439124483555518,8134792418512
189,23,"192.168.1.4",264224200170545,8134792420907
191,23,"192.168.1.10",439124483568889,8134792422944
190,23,"192.168.1.4",264224200185101,8134792425218
191,23,"192.168.1.4",264224200198897,8134792471516
192,24,"192.168.1.10",439124483675389,8134792474059
192,24,"192.168.1.4",264224200301119,8134792476278
193,24,"192.168.1.10",439124483696741,8134792478510
193,24,"192.168.1.4",264224200322526,8134792525856
194,24,"192.168.1.10",439124483710518,8134792528229
194,24,"192.168.1.4",264224200336693,8134792532956
195,24,"192.168.1.10",439124483724093,8134792536578
195,24,"192.168.1.4",264224200350323,8134792545733
196,24,"192.168.1.10",439124483737667,8134792580712
196,24,"192.168.1.4",264224200363952,8134792583320
197,24,"192.168.1.10",439124483750870,8134792585550
197,24,"192.168.1.4",264224200377804,8134792587770
198,24,"192.168.1.10",439124483764259,8134792629528
198,24,"192.168.1.4",264224200391638,8134792631809
199,24,"192.168.1.10",439124483777518,8134792633917
199,24,"192.168.1.4",264224200405508,8134792636257
200,25,"192.168.1.10",439124483883093,8134792682174
200,25,"192.168.1.4",264224200509378,8134792684641
201,25,"192.168.1.10",439124483904796,8134792686806
201,25,"192.168.1.4",264224200531175,8134792689060
202,25,"192.168.1.10",439124483918370,8134792735461
202,25,"192.168.1.4",264224200545286,8134792737917
203,25,"192.168.1.10",439124483931833,8134792739997
203,25,"192.168.1.4",264224200559249,8134792742221
204,25,"192.168.1.10",439124483945037,8134792787593
205,25,"192.168.1.10",439124483958204,8134792790124
204,25,"192.168.1.4",264224200573138,8134792792286
206,25,"192.168.1.10",439124483971463,8134792794531
205,25,"192.168.1.4",264224200587563,8134792839864
207,25,"192.168.1.10",439124483984537,8134792842308
206,25,"192.168.1.4",264224200601286,8134792844370
207,25,"192.168.1.4",264224200614934,8134792854006
208,26,"192.168.1.10",439124484092167,8134792892859
208,26,"192.168.1.4",264224200717601,8134792895328
209,26,"192.168.1.10",439124484115000,8134792897449
209,26,"192.168.1.4",264224200738989,8134792899711
210,26,"192.168.1.10",439124484128870,8134792945610
210,26,"192.168.1.4",264224200752915,8134792948022
211,26,"192.168.1.10",439124484142185,8134792949991
211,26,"192.168.1.4",264224200766712,8134792952151
212,26,"192.168.1.10",439124484155593,8134792997975
212,26,"192.168.1.4",264224200780508,8134793000444
213,26,"192.168.1.10",439124484168815,8134793002581
213,26,"192.168.1.4",264224200794341,8134793004798
214,26,"192.168.1.10",439124484181907,8134793055522
214,26,"192.168.1.4",264224200808267,8134793061487
215,26,"192.168.1.10",439124484195204,8134793064342
215,26,"192.168.1.4",264224200821989,8134793068362
216,27,"192.168.1.10",439124484301204,8134793103100
216,27,"192.168.1.4",264224200925563,8134793105758
217,27,"192.168.1.10",439124484323963,8134793107869
217,27,"192.168.1.4",264224200946730,8134793110141
218,27,"192.168.1.10",439124484337537,8134793156158
218,27,"192.168.1.4",264224200960508,8134793158523
219,27,"192.168.1.10",439124484351130,8134793160668
219,27,"192.168.1.4",264224200974230,8134793165226
220,27,"192.168.1.10",439124484364296,8134793208829
220,27,"192.168.1.4",264224200988749,8134793211484
221,27,"192.168.1.10",439124484377593,8134793213635
221,27,"192.168.1.4",264224201002675,8134793215864
222,27,"192.168.1.10",439124484390778,8134793261069
222,27,"192.168.1.4",264224201016341,8134793263419
