Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
0,0,"192.168.1.10",440718504805050,9728809826957
0,0,"192.168.1.4",265818230046280,9728809832093
1,0,"192.168.1.10",440718504873346,9728809834358
2,0,"192.168.1.10",440718504889531,9728809847573
3,0,"192.168.1.10",440718504903568,9728809850163
1,0,"192.168.1.4",265818230141965,9728809852475
4,0,"192.168.1.10",440718504919587,9728809854699
2,0,"192.168.1.4",265818230169002,9728809857029
5,0,"192.168.1.10",440718504934531,9728809915982
6,0,"192.168.1.10",440718504947976,9728809920464
3,0,"192.168.1.4",265818230194187,9728809923640
7,0,"192.168.1.10",440718504961328,9728809926660
4,0,"192.168.1.4",265818230218336,9728810013960
5,0,"192.168.1.4",265818230242095,9728810016667
6,0,"192.168.1.4",265818230266095,9728810019054
7,0,"192.168.1.4",265818230289984,9728810021269
8,1,"192.168.1.4",265818230314280,9728810023310
9,1,"192.168.1.4",265818230338669,9728810025460
8,1,"192.168.1.10",440718505096217,9728810027808
9,1,"192.168.1.10",440718505119735,9728810118990
10,1,"192.168.1.4",265818230362410,9728810124470
10,1,"192.168.1.10",440718505133624,9728810128686
11,1,"192.168.1.10",440718505146883,9728810134598
11,1,"192.168.1.4",265818230386150,9728810138710
12,1,"192.168.1.10",440718505160161,9728810145828
12,1,"192.168.1.4",265818230410039,9728810174239
13,1,"192.168.1.10",440718505173254,9728810176606
14,1,"192.168.1.10",440718505188031,9728810178620
13,1,"192.168.1.4",265818230433854,9728810180736
15,1,"192.168.1.10",440718505201291,9728810182971
14,1,"192.168.1.4",265818230457595,9728810185239
15,1,"192.168.1.4",265818230481354,9728810279519
16,2,"192.168.1.4",265818230505280,9728810282013
17,2,"192.168.1.4",265818230529280,9728810284069
16,2,"192.168.1.10",440718505295402,9728810286241
18,2,"192.168.1.4",265818230552928,9728810288390
17,2,"192.168.1.10",440718505316828,9728810290488
18,2,"192.168.1.10",440718505330402,9728810292784
19,2,"192.168.1.4",265818230576558,9728810294982
19,2,"192.168.1.10",440718505343624,9728810381329
20,2,"192.168.1.10",440718505357105,9728810383934
20,2,"192.168.1.4",265818230600650,9728810385988
21,2,"192.168.1.10",440718505370217,9728810388224
22,2,"192.168.1.10",440718505383328,9728810390352
21,2,"192.168.1.4",265818230624317,9728810392483
23,2,"192.168.1.10",440718505396402,9728810394674
22,2,"192.168.1.4",265818230648262,9728810396910
23,2,"192.168.1.4",265818230672336,9728810426849
24,3,"192.168.1.4",265818230696799,9728810429566
25,3,"192.168.1.4",265818230720706,9728810434508
26,3,"192.168.1.4",265818230744299,9728810436863
24,3,"192.168.1.10",440718505501420,9728810479683
25,3,"192.168.1.10",440718505523476,9728810482577
27,3,"192.168.1.4",265818230767947,9728810484758
26,3,"192.168.1.10",440718505536661,9728810487070
27,3,"192.168.1.10",440718505549754,9728810532450
28,3,"192.168.1.4",265818230791891,9728810534888
28,3,"192.168.1.10",440718505562698,9728810536998
29,3,"192.168.1.10",440718505575772,9728810539163
29,3,"192.168.1.4",265818230815724,9728810584600
30,3,"192.168.1.10",440718505588754,9728810587202
31,3,"192.168.1.10",440718505601661,9728810589270
30,3,"192.168.1.4",265818230839502,9728810591557
31,3,"192.168.1.4",265818230863021,9728810647900
32,4,"192.168.1.4",265818230886836,9728810653680
33,4,"192.168.1.4",265818230910576,9728810658294
34,4,"192.168.1.4",265818230934021,9728810661291
32,4,"192.168.1.10",440718505709161,9728810689683
35,4,"192.168.1.4",265818230957743,9728810692294
33,4,"192.168.1.10",440718505730920,9728810694440
34,4,"192.168.1.10",440718505744309,9728810696643
36,4,"192.168.1.4",265818230981595,9728810742736
35,4,"192.168.1.10",440718505757605,9728810745239
37,4,"192.168.1.4",265818231005317,9728810747458
36,4,"192.168.1.10",440718505770717,9728810752015
37,4,"192.168.1.10",440718505783772,9728810795576
38,4,"192.168.1.4",265818231029095,9728810798173
38,4,"192.168.1.10",440718505796828,9728810800314
39,4,"192.168.1.10",440718505809920,9728810802472
39,4,"192.168.1.4",265818231052836,9728810847742
40,5,"192.168.1.10",440718505917087,9728810850198
40,5,"192.168.1.4",265818231167928,9728810852366
41,5,"192.168.1.10",440718505938531,9728810854799
42,5,"192.168.1.10",440718505951939,9728810900090
41,5,"192.168.1.4",265818231200650,9728810902564
43,5,"192.168.1.10",440718505965717,9728810904694
44,5,"192.168.1.10",440718505978902,9728810906964
42,5,"192.168.1.4",265818231224984,9728810952924
45,5,"192.168.1.10",440718505992031,9728810955486
46,5,"192.168.1.10",440718506004865,9728810957598
43,5,"192.168.1.4",265818231249169,9728810960102
47,5,"192.168.1.10",440718506017828,9728811004861
44,5,"192.168.1.4",265818231273058,9728811007309
45,5,"192.168.1.4",265818231296762,9728811009457
46,5,"192.168.1.4",265818231320502,9728811011596
47,5,"192.168.1.4",265818231344002,9728811057600
48,6,"192.168.1.4",265818231367873,9728811060204
48,6,"192.168.1.10",440718506125791,9728811062357
49,6,"192.168.1.10",440718506147179,9728811066843
49,6,"192.168.1.4",265818231391817,9728811110460
50,6,"192.168.1.10",440718506161513,9728811112923
51,6,"192.168.1.10",440718506174828,9728811115111
50,6,"192.168.1.4",265818231415539,9728811117218
52,6,"192.168.1.10",440718506188624,9728811176393
53,6,"192.168.1.10",440718506201661,9728811179929
51,6,"192.168.1.4",265818231439373,9728811182170
54,6,"192.168.1.10",440718506214698,9728811184357
52,6,"192.168.1.4",265818231463187,9728811215312
55,6,"192.168.1.10",440718506227791,9728811217761
53,6,"192.168.1.4",265818231487002,9728811219951
54,6,"192.168.1.4",265818231510706,9728811222113
55,6,"192.168.1.4",265818231534039,9728811268014
56,7,"192.168.1.4",265818231557780,9728811270516
56,7,"192.168.1.10",440718506335346,9728811272564
57,7,"192.168.1.4",265818231581780,9728811274721
57,7,"192.168.1.10",440718506356735,9728811320649
58,7,"192.168.1.4",265818231605484,9728811323079
58,7,"192.168.1.10",440718506370328,9728811325344
59,7,"192.168.1.10",440718506383661,9728811327619
59,7,"192.168.1.4",265818231628891,9728811373530
60,7,"192.168.1.10",440718506396976,9728811375904
