Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
0,0,"192.168.1.4",266210596580583,10121173435198
0,0,"192.168.1.10",441110869214760,10121173440756
1,0,"192.168.1.4",266210596655565,10121173530334
1,0,"192.168.1.10",441110869293390,10121173534542
2,0,"192.168.1.4",266210596671750,10121173536935
2,0,"192.168.1.10",441110869310779,10121173539152
3,0,"192.168.1.4",266210596686157,10121173541332
3,0,"192.168.1.10",441110869325483,10121173543622
4,0,"192.168.1.4",266210596700528,10121173545992
4,0,"192.168.1.10",441110869341538,10121173548214
5,0,"192.168.1.4",266210596714620,10121173550362
5,0,"192.168.1.10",441110869355723,10121173552636
6,0,"192.168.1.4",266210596728472,10121173554918
6,0,"192.168.1.10",441110869369260,10121173558373
7,0,"192.168.1.4",266210596743768,10121173661191
7,0,"192.168.1.10",441110869382834,10121173677233
8,1,"192.168.1.4",266210596865861,10121173750939
8,1,"192.168.1.10",441110869503946,10121173754442
9,1,"192.168.1.4",266210596889046,10121173756634
9,1,"192.168.1.10",441110869526075,10121173759095
10,1,"192.168.1.4",266210596903454,10121173761297
10,1,"192.168.1.10",441110869540149,10121173763442
11,1,"192.168.1.4",266210596917694,10121173765609
11,1,"192.168.1.10",441110869553668,10121173767980
12,1,"192.168.1.4",266210596931565,10121173770223
12,1,"192.168.1.10",441110869567260,10121173784849
13,1,"192.168.1.4",266210596945565,10121173787634
13,1,"192.168.1.10",441110869581409,10121173850688
14,1,"192.168.1.4",266210596959509,10121173854289
14,1,"192.168.1.10",441110869595686,10121173856487
15,1,"192.168.1.10",441110869608853,10121173858625
15,1,"192.168.1.4",266210596973509,10121173860867
16,2,"192.168.1.10",441110869703353,10121173863062
16,2,"192.168.1.4",266210597069176,10121173865580
17,2,"192.168.1.10",441110869724742,10121173951656
17,2,"192.168.1.4",266210597091028,10121173955529
18,2,"192.168.1.10",441110869738427,10121173957663
18,2,"192.168.1.4",266210597105213,10121173960058
19,2,"192.168.1.10",441110869751853,10121173962265
19,2,"192.168.1.4",266210597119028,10121173964403
20,2,"192.168.1.10",441110869765094,10121173966720
20,2,"192.168.1.4",266210597132768,10121173968860
21,2,"192.168.1.10",441110869778223,10121173971275
21,2,"192.168.1.4",266210597146528,10121173973891
22,2,"192.168.1.10",441110869791538,10121174045361
22,2,"192.168.1.4",266210597160361,10121174048921
23,2,"192.168.1.10",441110869805297,10121174051062
23,2,"192.168.1.4",266210597174398,10121174053518
24,3,"192.168.1.10",441110869910983,10121174055745
24,3,"192.168.1.4",266210597276861,10121174062990
25,3,"192.168.1.10",441110869932464,10121174094232
25,3,"192.168.1.4",266210597298417,10121174097162
26,3,"192.168.1.10",441110869945760,10121174099261
26,3,"192.168.1.4",266210597312342,10121174101451
27,3,"192.168.1.10",441110869959205,10121174103675
27,3,"192.168.1.4",266210597326231,10121174105915
28,3,"192.168.1.10",441110869972390,10121174206167
28,3,"192.168.1.4",266210597340028,10121174208744
29,3,"192.168.1.10",441110869985705,10121174210872
29,3,"192.168.1.4",266210597353750,10121174213227
30,3,"192.168.1.10",441110869999168,10121174215470
30,3,"192.168.1.4",266210597367250,10121174217768
31,3,"192.168.1.10",441110870012334,10121174219893
31,3,"192.168.1.4",266210597381231,10121174221961
