Sequence number,burst index,ip of sending device,time sent (ns),time received (ns)
0,0,"192.168.1.4",266870424319208,10780996269132
0,0,"192.168.1.10",441770693380830,10780996274039
1,0,"192.168.1.4",266870424400616,10780996276288
1,0,"192.168.1.10",441770693461608,10780996280292
2,0,"192.168.1.4",266870424418042,10780996363258
2,0,"192.168.1.10",441770693478849,10780996367271
0,0,"192.168.2.10",441770693493849,10780996370324
3,1,"192.168.1.4",266870424609005,10780996502931
3,1,"192.168.1.10",441770693672237,10780996506824
4,1,"192.168.1.4",266870424631894,10780996508992
4,1,"192.168.1.10",441770693695089,10780996511158
5,1,"192.168.1.4",266870424646708,10780996513306
5,1,"192.168.1.10",441770693709700,10780996515894
1,1,"192.168.2.10",441770693723478,10780996601659
6,2,"192.168.1.10",441770693869219,10780996690318
6,2,"192.168.1.4",266870424808190,10780996694062
7,2,"192.168.1.10",441770693890571,10780996696395
7,2,"192.168.1.4",266870424830338,10780996699206
8,2,"192.168.1.10",441770693904219,10780996779977
8,2,"192.168.1.4",266870424845227,10780996783452
2,2,"192.168.2.10",441770693917700,10780996786692
9,3,"192.168.1.10",441770694076849,10780996857734
9,3,"192.168.1.4",266870425015801,10780996860885
10,3,"192.168.1.4",266870425037505,10780996863063
10,3,"192.168.1.10",441770694098034,10780996865488
11,3,"192.168.1.4",266870425051560,10780996946862
11,3,"192.168.1.10",441770694112812,10780996949674
3,3,"192.168.2.10",441770694126645,10780996952570
12,4,"192.168.1.4",266870425223579,10780997056710
12,4,"192.168.1.10",441770694284904,10780997059119
13,4,"192.168.1.4",266870425245005,10780997061219
13,4,"192.168.1.10",441770694306200,10780997063395
14,4,"192.168.1.4",266870425258931,10780997145186
14,4,"192.168.1.10",441770694320089,10780997147517
4,4,"192.168.2.10",441770694334015,10780997150297
15,5,"192.168.1.10",441770694492997,10780997252580
15,5,"192.168.1.4",266870425433357,10780997255053
16,5,"192.168.1.10",441770694514441,10780997257176
16,5,"192.168.1.4",266870425455616,10780997259476
17,5,"192.168.1.10",441770694528182,10780997333606
17,5,"192.168.1.4",266870425469597,10780997336069
5,5,"192.168.2.10",441770694542571,10780997339085
18,6,"192.168.1.4",266870425639986,10780997427840
18,6,"192.168.1.10",441770694702830,10780997430446
19,6,"192.168.1.4",266870425661671,10780997483327
19,6,"192.168.1.10",441770694724219,10780997485854
20,6,"192.168.1.4",266870425675690,10780997488171
20,6,"192.168.1.10",441770694738200,10780997490467
6,6,"192.168.2.10",441770694751793,10780997532093
21,7,"192.168.1.4",266870425848283,10780997639036
21,7,"192.168.1.10",441770694909497,10780997645017
22,7,"192.168.1.10",441770694930904,10780997689136
22,7,"192.168.1.4",266870425870005,10780997691629
23,7,"192.168.1.10",441770694944793,10780997693746
23,7,"192.168.1.4",266870425884060,10780997696050
7,7,"192.168.2.10",441770694958312,10780997739861
24,8,"192.168.1.4",266870426056579,10780997843653
24,8,"192.168.1.10",441770695118126,10780997846077
25,8,"192.168.1.4",266870426078060,10780997897390
25,8,"192.168.1.10",441770695139941,10780997899876
26,8,"192.168.1.4",266870426092245,10780997902088
26,8,"192.168.1.10",441770695153571,10780997904386
8,8,"192.168.2.10",441770695167015,10780997947809
27,9,"192.168.1.4",266870426264931,10780998052858
27,9,"192.168.1.10",441770695326071,10780998055395
28,9,"192.168.1.10",441770695347441,10780998110987
28,9,"192.168.1.4",266870426286616,10780998118015
29,9,"192.168.1.10",441770695361071,10780998122078
29,9,"192.168.1.4",266870426300949,10780998127276
9,9,"192.168.2.10",441770695374515,10780998159966
30,10,"192.168.1.10",441770695534404,10780998260363
30,10,"192.168.1.4",266870426474283,10780998263088
31,10,"192.168.1.10",441770695555904,10780998314707
31,10,"192.168.1.4",266870426496301,10780998317195
32,10,"192.168.1.10",441770695569941,10780998321432
32,10,"192.168.1.4",266870426510227,10780998323814
10,10,"192.168.2.10",441770695584219,10780998365031
33,11,"192.168.1.4",266870426681523,10780998468533
33,11,"192.168.1.10",441770695744608,10780998471098
34,11,"192.168.1.4",266870426703190,10780998524457
34,11,"192.168.1.10",441770695765756,10780998526890
35,11,"192.168.1.4",266870426717375,10780998528955
35,11,"192.168.1.10",441770695779589,10780998531276
11,11,"192.168.2.10",441770695793367,10780998573173
36,12,"192.168.1.4",266870426889653,10780998676768
36,12,"192.168.1.10",441770695951404,10780998679211
37,12,"192.168.1.4",266870426911171,10780998730744
37,12,"192.168.1.10",441770695972645,10780998733312
38,12,"192.168.1.4",266870426924986,10780998735586
38,12,"192.168.1.10",441770695986515,10780998737911
12,12,"192.168.2.10",441770696000163,10780998784787
39,13,"192.168.1.4",266870427098208,10780998890959
39,13,"192.168.1.10",441770696160534,10780998893480
40,13,"192.168.1.4",266870427119579,10780998945286
40,13,"192.168.1.10",441770696182700,10780998947714
41,13,"192.168.1.4",266870427133542,10780998950045
41,13,"192.168.1.10",441770696196997,10780998952355
13,13,"192.168.2.10",441770696210867,10780998995872
42,14,"192.168.1.4",266870427306301,10780999092925
42,14,"192.168.1.10",441770696367849,10780999095469
43,14,"192.168.1.4",266870427327412,10780999166389
43,14,"192.168.1.10",441770696389923,10780999173445
44,14,"192.168.1.4",266870427341486,10780999176135
44,14,"192.168.1.10",441770696404052,10780999178583
14,14,"192.168.2.10",441770696417923,10780999197400
45,15,"192.168.1.10",441770696576423,10780999301655
45,15,"192.168.1.4",266870427515968,10780999304164
46,15,"192.168.1.10",441770696597719,10780999356127
46,15,"192.168.1.4",266870427538005,10780999358567
47,15,"192.168.1.10",441770696612275,10780999360805
47,15,"192.168.1.4",266870427552116,10780999363162
15,15,"192.168.2.10",441770696626015,10780999406952
48,16,"192.168.1.4",266870427723449,10780999510167
48,16,"192.168.1.10",441770696785719,10780999512655
49,16,"192.168.1.4",266870427744820,10780999564224
49,16,"192.168.1.10",441770696807126,10780999566707
50,16,"192.168.1.4",266870427759079,10780999569003
50,16,"192.168.1.10",441770696820941,10780999571312
16,16,"192.168.2.10",441770696834460,10780999614626
51,17,"192.168.1.10",441770696992200,10780999718335
51,17,"192.168.1.4",266870427931171,10780999720899
52,17,"192.168.1.10",441770697013571,10780999771836
52,17,"192.168.1.4",266870427952597,10780999776333
53,17,"192.168.1.10",441770697027330,10780999778632
53,17,"192.168.1.4",266870427966727,10780999780996
17,17,"192.168.2.10",441770697041015,10780999822644
54,18,"192.168.1.10",441770697200923,10780999926698
54,18,"192.168.1.4",266870428143042,10780999929188
55,18,"192.168.1.10",441770697222182,10780999980213
55,18,"192.168.1.4",266870428165301,10780999982674
56,18,"192.168.1.10",441770697236145,10780999984996
56,18,"192.168.1.4",266870428179523,10780999987314
18,18,"192.168.2.10",441770697249960,10781000031465
57,19,"192.168.1.10",441770697408960,10781000134671
57,19,"192.168.1.4",266870428348042,10781000137200
58,19,"192.168.1.10",441770697430330,10781000199231
58,19,"192.168.1.4",266870428370042,10781000201694
59,19,"192.168.1.10",441770697443756,10781000204015
59,19,"192.168.1.4",266870428384005,10781000206440
19,19,"192.168.2.10",441770697457219,10781000239555
60,20,"192.168.1.10",441770697617478,10781000346307
60,20,"192.168.1.4",266870428557653,10781000348735
61,20,"192.168.1.10",441770697639386,10781000397795
61,20,"192.168.1.4",266870428579671,10781000400308
62,20,"192.168.1.10",441770697653460,10781000402591
62,20,"192.168.1.4",266870428593579,10781000404781
20,20,"192.168.2.10",441770697666904,10781000448592
63,21,"192.168.1.4",266870428764949,10781000551734
63,21,"192.168.1.10",441770697827108,10781000554256
64,21,"192.168.1.4",266870428786542,10781000605883
64,21,"192.168.1.10",441770697848349,10781000608193
65,21,"192.168.1.10",441770697861978,10781000610391
65,21,"192.168.1.4",266870428800708,10781000612851
21,21,"192.168.2.10",441770697875404,10781000656594
66,22,"192.168.1.4",266870428972597,10781000759981
66,22,"192.168.1.10",441770698034089,10781000762545
67,22,"192.168.1.4",266870428994357,10781000815134
67,22,"192.168.1.10",441770698055663,10781000817649
68,22,"192.168.1.4",266870429008338,10781000819905
68,22,"192.168.1.10",441770698070719,10781000822171
22,22,"192.168.2.10",441770698085589,10781000864339
69,23,"192.168.1.4",266870429180894,10781000967220
69,23,"192.168.1.10",441770698242441,10781000969698
70,23,"192.168.1.4",266870429202523,10781001022275
70,23,"192.168.1.10",441770698263663,10781001024685
71,23,"192.168.1.4",266870429216708,10781001026873
71,23,"192.168.1.10",441770698277700,10781001029286
23,23,"192.168.2.10",441770698291330,10781001072498
72,24,"192.168.1.4",266870429389097,10781001183646
72,24,"192.168.1.10",441770698450478,10781001191149
73,24,"192.168.1.4",266870429410505,10781001229582
73,24,"192.168.1.10",441770698471700,10781001234224
74,24,"192.168.1.4",266870429424542,10781001236518
74,24,"192.168.1.10",441770698485589,10781001238836
24,24,"192.168.2.10",441770698499163,10781001280211
75,25,"192.168.1.10",441770698658997,10781001386630
75,25,"192.168.1.4",266870429598282,10781001389455
76,25,"192.168.1.10",441770698680849,10781001439538
76,25,"192.168.1.4",266870429620764,10781001442247
77,25,"192.168.1.10",441770698694608,10781001444486
77,25,"192.168.1.4",266870429634801,10781001446917
25,25,"192.168.2.10",441770698708015,10781001490063
78,26,"192.168.1.4",266870429805597,10781001592316
78,26,"192.168.1.10",441770698867886,10781001594829
79,26,"192.168.1.4",266870429827005,10781001646533
79,26,"192.168.1.10",441770698889071,10781001649002
80,26,"192.168.1.4",266870429841079,10781001651255
80,26,"192.168.1.10",441770698903219,10781001653558
26,26,"192.168.2.10",441770698916904,10781001703068
81,27,"192.168.1.4",266870430014097,10781001800547
81,27,"192.168.1.10",441770699075478,10781001803042
82,27,"192.168.1.10",441770699096849,10781001856349
82,27,"192.168.1.4",266870430035745,10781001858737
83,27,"192.168.1.10",441770699110682,10781001860933
83,27,"192.168.1.4",266870430050745,10781001863356
27,27,"192.168.2.10",441770699125367,10781001905989
84,28,"192.168.1.4",266870430222449,10781002009655
84,28,"192.168.1.10",441770699283719,10781002012459
85,28,"192.168.1.4",266870430244005,10781002063850
85,28,"192.168.1.10",441770699305256,10781002066374
86,28,"192.168.1.4",266870430258227,10781002068702
86,28,"192.168.1.10",441770699319219,10781002071031
28,28,"192.168.2.10",441770699333071,10781002113834
87,29,"192.168.1.4",266870430431153,10781002218870
87,29,"192.168.1.10",441770699492145,10781002222440
88,29,"192.168.1.10",441770699513404,10781002271659
88,29,"192.168.1.4",266870430452357,10781002273968
89,29,"192.168.1.10",441770699526904,10781002276075
89,29,"192.168.1.4",266870430466449,10781002278548
29,29,"192.168.2.10",441770699540312,10781002323168
90,30,"192.168.1.10",441770699700275,10781002426427
90,30,"192.168.1.4",266870430639968,10781002428987
91,30,"192.168.1.10",441770699722126,10781002482069
91,30,"192.168.1.4",266870430662060,10781002484577
92,30,"192.168.1.4",266870430676060,10781002486796
92,30,"192.168.1.10",441770699736182,10781002489128
30,30,"192.168.2.10",441770699750682,10781002530917
93,31,"192.168.1.4",266870430847412,10781002633744
93,31,"192.168.1.10",441770699909997,10781002636209
94,31,"192.168.1.4",266870430868727,10781002688135
94,31,"192.168.1.10",441770699931126,10781002692753
95,31,"192.168.1.4",266870430882820,10781002695126
95,31,"192.168.1.10",441770699944719,10781002701278
31,31,"192.168.2.10",441770699958163,10781002740382
96,32,"192.168.1.4",266870431055653,10781002842547
96,32,"192.168.1.10",441770700120645,10781002845001
97,32,"192.168.1.4",266870431077486,10781002896584
97,32,"192.168.1.10",441770700142719,10781002899156
98,32,"192.168.1.4",266870431091468,10781002901566
98,32,"192.168.1.10",441770700156849,10781002903903
32,32,"192.168.2.10",441770700171775,10781002947209
99,33,"192.168.1.4",266870431263745,10781003051687
99,33,"192.168.1.10",441770700325737,10781003054162
100,33,"192.168.1.4",266870431285208,10781003104610
100,33,"192.168.1.10",441770700347052,10781003106951
101,33,"192.168.1.4",266870431299579,10781003109073
101,33,"192.168.1.10",441770700361052,10781003111455
33,33,"192.168.2.10",441770700374589,10781003155061
102,34,"192.168.1.4",266870431472264,10781003258807
102,34,"192.168.1.10",441770700533589,10781003261268
103,34,"192.168.1.4",266870431493782,10781003314253
103,34,"192.168.1.10",441770700554756,10781003316771
104,34,"192.168.1.4",266870431507727,10781003319053
104,34,"192.168.1.10",441770700568830,10781003321391
34,34,"192.168.2.10",441770700582404,10781003363256
105,35,"192.168.1.10",441770700741589,10781003467211
105,35,"192.168.1.4",266870431681412,10781003469659
106,35,"192.168.1.10",441770700763534,10781003522601
106,35,"192.168.1.4",266870431703357,10781003524997
107,35,"192.168.1.10",441770700777312,10781003527138
107,35,"192.168.1.4",266870431717171,10781003529490
35,35,"192.168.2.10",441770700790941,10781003572354
108,36,"192.168.1.4",266870431888931,10781003675565
